{'loss': 3.4749, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.01}
{'loss': 4.7279, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 4.9292, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 3.7164, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.03}
{'loss': 2.8078, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.04}
{'loss': 2.8546, 'learning_rate': 1e-05, 'epoch': 0.05}
{'loss': 3.5649, 'learning_rate': 1.1666666666666668e-05, 'epoch': 0.06}
{'loss': 2.0979, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.06}
{'loss': 2.5418, 'learning_rate': 1.5000000000000002e-05, 'epoch': 0.07}
{'loss': 2.9661, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.08}
{'loss': 1.7397, 'learning_rate': 1.8333333333333333e-05, 'epoch': 0.09}
{'loss': 2.8918, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.6021, 'learning_rate': 1.9999625498303936e-05, 'epoch': 0.1}
{'loss': 2.7327, 'learning_rate': 1.999850202126604e-05, 'epoch': 0.11}
{'loss': 1.8932, 'learning_rate': 1.9996629653035128e-05, 'epoch': 0.12}
{'loss': 3.8063, 'learning_rate': 1.999400853385221e-05, 'epoch': 0.13}
{'loss': 2.7192, 'learning_rate': 1.9990638860040007e-05, 'epoch': 0.14}
{'loss': 3.5762, 'learning_rate': 1.9986520883988233e-05, 'epoch': 0.14}
{'loss': 2.3963, 'learning_rate': 1.9981654914134684e-05, 'epoch': 0.15}
{'loss': 1.3527, 'learning_rate': 1.9976041314942156e-05, 'epoch': 0.16}
{'loss': 2.4719, 'learning_rate': 1.9969680506871138e-05, 'epoch': 0.17}
{'loss': 1.8276, 'learning_rate': 1.99625729663483e-05, 'epoch': 0.18}
{'loss': 2.7094, 'learning_rate': 1.9954719225730847e-05, 'epoch': 0.18}
{'loss': 3.2169, 'learning_rate': 1.9946119873266615e-05, 'epoch': 0.19}
{'loss': 2.2029, 'learning_rate': 1.9936775553050017e-05, 'epoch': 0.2}
{'loss': 2.2685, 'learning_rate': 1.9926686964973813e-05, 'epoch': 0.21}
{'loss': 2.0469, 'learning_rate': 1.9915854864676665e-05, 'epoch': 0.22}
{'loss': 2.0682, 'learning_rate': 1.9904280063486563e-05, 'epoch': 0.22}
{'loss': 1.3075, 'learning_rate': 1.9891963428360043e-05, 'epoch': 0.23}
{'loss': 1.6, 'learning_rate': 1.9878905881817254e-05, 'epoch': 0.24}
{'loss': 1.8797, 'learning_rate': 1.9865108401872856e-05, 'epoch': 0.25}
{'loss': 2.219, 'learning_rate': 1.9850572021962788e-05, 'epoch': 0.26}
{'loss': 2.4884, 'learning_rate': 1.9835297830866827e-05, 'epoch': 0.26}
{'loss': 1.8262, 'learning_rate': 1.9819286972627066e-05, 'epoch': 0.27}
{'loss': 1.7207, 'learning_rate': 1.980254064646223e-05, 'epoch': 0.28}
{'loss': 2.1635, 'learning_rate': 1.9785060106677818e-05, 'epoch': 0.29}
{'loss': 1.5174, 'learning_rate': 1.976684666257219e-05, 'epoch': 0.3}
{'loss': 1.5311, 'learning_rate': 1.9747901678338496e-05, 'epoch': 0.3}
{'loss': 1.0885, 'learning_rate': 1.9728226572962474e-05, 'epoch': 0.31}
{'loss': 2.5986, 'learning_rate': 1.9707822820116193e-05, 'epoch': 0.32}
{'loss': 1.5729, 'learning_rate': 1.9686691948047665e-05, 'epoch': 0.33}
{'loss': 1.9746, 'learning_rate': 1.966483553946637e-05, 'epoch': 0.34}
{'loss': 1.6346, 'learning_rate': 1.964225523142473e-05, 'epoch': 0.34}
{'loss': 1.6694, 'learning_rate': 1.9618952715195476e-05, 'epoch': 0.35}
{'loss': 1.9979, 'learning_rate': 1.9594929736144978e-05, 'epoch': 0.36}
{'loss': 2.3469, 'learning_rate': 1.9570188093602512e-05, 'epoch': 0.37}
{'loss': 1.4518, 'learning_rate': 1.95447296407255e-05, 'epoch': 0.38}
{'loss': 2.5283, 'learning_rate': 1.9518556284360696e-05, 'epoch': 0.38}
{'loss': 1.6405, 'learning_rate': 1.9491669984901377e-05, 'epoch': 0.39}
{'loss': 2.0877, 'learning_rate': 1.9464072756140487e-05, 'epoch': 0.4}
{'loss': 2.4455, 'learning_rate': 1.9435766665119823e-05, 'epoch': 0.41}
{'loss': 1.4405, 'learning_rate': 1.9406753831975202e-05, 'epoch': 0.42}
{'loss': 0.9579, 'learning_rate': 1.9377036429777673e-05, 'epoch': 0.42}
{'loss': 1.4469, 'learning_rate': 1.934661668437073e-05, 'epoch': 0.43}
{'loss': 2.5269, 'learning_rate': 1.9315496874203637e-05, 'epoch': 0.44}
{'loss': 2.3549, 'learning_rate': 1.9283679330160726e-05, 'epoch': 0.45}
{'loss': 1.8497, 'learning_rate': 1.9251166435386837e-05, 'epoch': 0.46}
{'loss': 1.7593, 'learning_rate': 1.921796062510882e-05, 'epoch': 0.46}
{'loss': 2.1922, 'learning_rate': 1.9184064386453127e-05, 'epoch': 0.47}
