loading chainyo/alpaca-lora-7b...
loading data from ../outputs/generated_data/train_data.json...
{'loss': 0.7226, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.01}
{'loss': 0.4764, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 0.5137, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 0.1635, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.03}
{'loss': 0.1273, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.04}
{'loss': 0.1229, 'learning_rate': 1e-05, 'epoch': 0.05}
{'loss': 0.1065, 'learning_rate': 1.1666666666666668e-05, 'epoch': 0.06}
{'loss': 0.099, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.06}
{'loss': 0.0899, 'learning_rate': 1.5000000000000002e-05, 'epoch': 0.07}
{'loss': 0.0859, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.08}
{'loss': 0.0925, 'learning_rate': 1.8333333333333333e-05, 'epoch': 0.09}
{'loss': 0.0797, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 0.0872, 'learning_rate': 1.9999625498303936e-05, 'epoch': 0.1}
{'loss': 0.066, 'learning_rate': 1.999850202126604e-05, 'epoch': 0.11}
{'loss': 0.0643, 'learning_rate': 1.9996629653035128e-05, 'epoch': 0.12}
{'loss': 0.062, 'learning_rate': 1.999400853385221e-05, 'epoch': 0.13}
{'loss': 0.0614, 'learning_rate': 1.9990638860040007e-05, 'epoch': 0.14}
{'loss': 0.0494, 'learning_rate': 1.9986520883988233e-05, 'epoch': 0.14}
{'loss': 0.046, 'learning_rate': 1.9981654914134684e-05, 'epoch': 0.15}
{'loss': 0.0386, 'learning_rate': 1.9976041314942156e-05, 'epoch': 0.16}
{'loss': 0.0368, 'learning_rate': 1.9969680506871138e-05, 'epoch': 0.17}
{'loss': 0.0332, 'learning_rate': 1.99625729663483e-05, 'epoch': 0.18}
{'loss': 0.031, 'learning_rate': 1.9954719225730847e-05, 'epoch': 0.18}
{'loss': 0.0286, 'learning_rate': 1.9946119873266615e-05, 'epoch': 0.19}
{'loss': 0.0223, 'learning_rate': 1.9936775553050017e-05, 'epoch': 0.2}
{'loss': 0.0199, 'learning_rate': 1.9926686964973813e-05, 'epoch': 0.21}
{'loss': 0.0179, 'learning_rate': 1.9915854864676665e-05, 'epoch': 0.22}
{'loss': 0.0151, 'learning_rate': 1.9904280063486563e-05, 'epoch': 0.22}
{'loss': 0.0124, 'learning_rate': 1.9891963428360043e-05, 'epoch': 0.23}
{'loss': 0.0095, 'learning_rate': 1.9878905881817254e-05, 'epoch': 0.24}
{'loss': 0.0075, 'learning_rate': 1.9865108401872856e-05, 'epoch': 0.25}
{'loss': 0.0068, 'learning_rate': 1.9850572021962788e-05, 'epoch': 0.26}
{'loss': 0.0067, 'learning_rate': 1.9835297830866827e-05, 'epoch': 0.26}
{'loss': 0.0053, 'learning_rate': 1.9819286972627066e-05, 'epoch': 0.27}
{'loss': 0.0042, 'learning_rate': 1.980254064646223e-05, 'epoch': 0.28}
{'loss': 0.0033, 'learning_rate': 1.9785060106677818e-05, 'epoch': 0.29}
{'loss': 0.003, 'learning_rate': 1.976684666257219e-05, 'epoch': 0.3}
{'loss': 0.0026, 'learning_rate': 1.9747901678338496e-05, 'epoch': 0.3}
{'loss': 0.0023, 'learning_rate': 1.9728226572962474e-05, 'epoch': 0.31}
{'loss': 0.002, 'learning_rate': 1.9707822820116193e-05, 'epoch': 0.32}
{'loss': 0.002, 'learning_rate': 1.9686691948047665e-05, 'epoch': 0.33}
{'loss': 0.0016, 'learning_rate': 1.966483553946637e-05, 'epoch': 0.34}
{'loss': 0.0015, 'learning_rate': 1.964225523142473e-05, 'epoch': 0.34}
{'loss': 0.0014, 'learning_rate': 1.9618952715195476e-05, 'epoch': 0.35}
{'loss': 0.0012, 'learning_rate': 1.9594929736144978e-05, 'epoch': 0.36}
{'loss': 0.0011, 'learning_rate': 1.9570188093602512e-05, 'epoch': 0.37}
{'loss': 0.001, 'learning_rate': 1.95447296407255e-05, 'epoch': 0.38}
{'loss': 0.001, 'learning_rate': 1.9518556284360696e-05, 'epoch': 0.38}
{'loss': 0.0009, 'learning_rate': 1.9491669984901377e-05, 'epoch': 0.39}
{'loss': 0.0009, 'learning_rate': 1.9464072756140487e-05, 'epoch': 0.4}
{'loss': 0.0008, 'learning_rate': 1.9435766665119823e-05, 'epoch': 0.41}
{'loss': 0.0007, 'learning_rate': 1.9406753831975202e-05, 'epoch': 0.42}
{'loss': 0.0007, 'learning_rate': 1.9377036429777673e-05, 'epoch': 0.42}
{'loss': 0.0007, 'learning_rate': 1.934661668437073e-05, 'epoch': 0.43}
{'loss': 0.0007, 'learning_rate': 1.9315496874203637e-05, 'epoch': 0.44}
{'loss': 0.0006, 'learning_rate': 1.9283679330160726e-05, 'epoch': 0.45}
{'loss': 0.0005, 'learning_rate': 1.9251166435386837e-05, 'epoch': 0.46}
{'loss': 0.0005, 'learning_rate': 1.921796062510882e-05, 'epoch': 0.46}
{'loss': 0.0005, 'learning_rate': 1.9184064386453127e-05, 'epoch': 0.47}
{'loss': 0.0005, 'learning_rate': 1.9149480258259535e-05, 'epoch': 0.48}
{'loss': 0.0005, 'learning_rate': 1.911421083089097e-05, 'epoch': 0.49}
{'loss': 0.0005, 'learning_rate': 1.907825874603951e-05, 'epoch': 0.5}
{'loss': 0.0004, 'learning_rate': 1.9041626696528503e-05, 'epoch': 0.5}
{'loss': 0.0004, 'learning_rate': 1.9004317426110888e-05, 'epoch': 0.51}
{'loss': 0.0004, 'learning_rate': 1.8966333729263674e-05, 'epoch': 0.52}
{'loss': 0.0004, 'learning_rate': 1.892767845097864e-05, 'epoch': 0.53}
{'loss': 0.0004, 'learning_rate': 1.8888354486549238e-05, 'epoch': 0.54}
{'loss': 0.0004, 'learning_rate': 1.8848364781353744e-05, 'epoch': 0.54}
{'loss': 0.0004, 'learning_rate': 1.8807712330634645e-05, 'epoch': 0.55}
